iso2_code,year,quarter,quarter_id,hhi_raw,hhi_norm,entropy,n_languages,total_pushers,log_pushers,balanced,t_index,event_time,post,event_time_alt,drop_q4_2022,epi_score,proficiency_band,epi_high,epi_tercile,hhi_raw_wins,hhi_norm_wins,entropy_wins
CZ,2022,1,20221,0.04963865992856537,0.0387149663645259,3.5325333793704834,88.0,87704.0,11.381722787354375,True,8,-4,0,-3,False,582.0,High,1.0,high,0.04963865992856537,0.0387149663645259,3.5325333793704834
CZ,2022,2,20222,0.05006603591950716,0.039020292151129336,3.521715002663729,87.0,91293.0,11.421829393326107,True,9,-3,0,-2,False,582.0,High,1.0,high,0.05006603591950716,0.039020292151129336,3.521715002663729
CZ,2022,3,20223,0.05042986409355557,0.03870677599594515,3.4973905915431414,82.0,82372.0,11.319000852325239,True,10,-2,0,-1,False,582.0,High,1.0,high,0.05042986409355557,0.03870677599594515,3.4973905915431414
CZ,2022,4,20224,0.05131892655792884,0.040659588654085345,3.506201888479803,90.0,93617.0,11.446967269905677,True,11,-1,0,0,True,582.0,High,1.0,high,0.05131892655792884,0.040659588654085345,3.506201888479803
CZ,2023,1,20231,0.050360689337739836,0.040258143479630686,3.5412731772127226,95.0,102170.0,11.53439337158547,True,12,0,1,1,False,582.0,High,1.0,high,0.050360689337739836,0.040258143479630686,3.5412731772127226
CZ,2023,2,20232,0.05194489852341575,0.041171545097545476,3.498887569815411,89.0,100629.0,11.519195765483587,True,13,1,1,2,False,582.0,High,1.0,high,0.05194489852341575,0.041171545097545476,3.498887569815411
CZ,2023,3,20233,0.05074600648842924,0.0398350410457675,3.511292059176805,88.0,87999.0,11.385080729759414,True,14,2,1,3,False,582.0,High,1.0,high,0.05074600648842924,0.0398350410457675,3.511292059176805
CZ,2023,4,20234,0.050961472957554155,0.04097159372552841,3.53300746251306,96.0,102929.0,11.541794709132889,True,15,3,1,4,False,582.0,High,1.0,high,0.050961472957554155,0.04097159372552841,3.53300746251306
CZ,2024,1,20241,0.05021449594683549,0.04081067907502198,3.5593707188500217,102.0,108909.0,11.598267950134272,True,16,4,1,5,False,582.0,High,1.0,high,0.05021449594683549,0.04081067907502198,3.5593707188500217
CZ,2024,2,20242,0.05077760687200345,0.041189501890912576,3.5463166705670277,100.0,110172.0,11.6097980599317,True,17,5,1,6,False,582.0,High,1.0,high,0.05077760687200345,0.041189501890912576,3.5463166705670277
CZ,2024,3,20243,0.0486252744579791,0.03891736909530542,3.5804618027775996,99.0,96247.0,11.474673082833103,True,18,6,1,7,False,582.0,High,1.0,high,0.0486252744579791,0.03891736909530542,3.5804618027775996
CZ,2024,4,20244,0.051455442879141985,0.04187418472640604,3.5359811266848484,100.0,111568.0,11.622389549460792,True,19,7,1,8,False,582.0,High,1.0,high,0.051455442879141985,0.04187418472640604,3.5359811266848484
CZ,2025,1,20251,0.052660523816461025,0.04309143819844548,3.5179563449136246,100.0,122528.0,11.71609485427702,True,20,8,1,9,False,582.0,High,1.0,high,0.052660523816461025,0.04309143819844548,3.5179563449136246
CZ,2025,2,20252,0.05455635923230681,0.045195531105894006,3.495751215457424,102.0,131771.0,11.788820846491301,True,21,9,1,10,False,582.0,High,1.0,high,0.05455635923230681,0.045195531105894006,3.495751215457424
CZ,2025,3,20253,0.05285830384902748,0.04309395646602777,3.514312503521692,98.0,119185.0,11.68843218676883,True,22,10,1,11,False,582.0,High,1.0,high,0.05285830384902748,0.04309395646602777,3.514312503521692
DE,2020,1,20201,0.04661748725558357,0.040621370823228746,3.6715448547564598,160.0,527483.0,13.17587191632489,True,0,-12,0,-11,False,615.0,Very High,1.0,high,0.04661748725558357,0.040621370823228746,3.6715448547564598
DE,2020,2,20202,0.04731972545392661,0.04136547373801366,3.6603553758190603,161.0,571026.0,13.255190021752112,True,1,-11,0,-10,False,615.0,Very High,1.0,high,0.04731972545392661,0.04136547373801366,3.6603553758190603
DE,2020,3,20203,0.04540978135792164,0.03976131852571999,3.7164939670559662,170.0,546981.0,13.212169345883114,True,2,-10,0,-9,False,615.0,Very High,1.0,high,0.04591120703040608,0.03976131852571999,3.688347352771257
DE,2020,4,20204,0.043833575463443034,0.03855088803506426,3.754781243112438,182.0,596450.0,13.298750694710092,True,3,-9,0,-8,False,615.0,Very High,1.0,high,0.04591120703040608,0.03855088803506426,3.688347352771257
DE,2021,1,20211,0.044658928992959625,0.03932182803761303,3.736270117248519,180.0,632834.0,13.35796342344859,True,4,-8,0,-7,False,615.0,Very High,1.0,high,0.04591120703040608,0.03932182803761303,3.688347352771257
DE,2021,2,20212,0.04394849519701717,0.03875256310569661,3.7598153790654125,185.0,635523.0,13.362203560931555,True,5,-7,0,-6,False,615.0,Very High,1.0,high,0.04591120703040608,0.03875256310569661,3.688347352771257
DE,2021,3,20213,0.04297816009525198,0.037748532554788876,3.783905094846252,184.0,587928.0,13.284359770403684,True,6,-6,0,-5,False,615.0,Very High,1.0,high,0.04591120703040608,0.037748532554788876,3.688347352771257
DE,2021,4,20214,0.0425892995711904,0.03775389199326712,3.8038012471029923,199.0,642678.0,13.373399100183798,True,7,-5,0,-4,False,615.0,Very High,1.0,high,0.04591120703040608,0.03775389199326712,3.688347352771257
DE,2022,1,20221,0.04364782817938114,0.03876848036396982,3.7823111431207423,197.0,707194.0,13.469060306106684,True,8,-4,0,-3,False,615.0,Very High,1.0,high,0.04591120703040608,0.03876848036396982,3.688347352771257
DE,2022,2,20222,0.04346051107704681,0.038555180364621404,3.783645841002564,196.0,711096.0,13.474562720767896,True,9,-3,0,-2,False,615.0,Very High,1.0,high,0.04591120703040608,0.038555180364621404,3.688347352771257
DE,2022,3,20223,0.043123946946488204,0.03819159615755257,3.793181772929752,195.0,697192.0,13.454816118092864,True,10,-2,0,-1,False,615.0,Very High,1.0,high,0.04591120703040608,0.03819159615755257,3.688347352771257
DE,2022,4,20224,0.04271010701179086,0.03794747072826743,3.805980444470531,202.0,741617.0,13.51658821637989,True,11,-1,0,0,True,615.0,Very High,1.0,high,0.04591120703040608,0.03794747072826743,3.688347352771257
DE,2023,1,20231,0.042956663685689296,0.03835549379956281,3.8049607932246405,209.0,789317.0,13.578923293536262,True,12,0,1,1,False,615.0,Very High,1.0,high,0.04591120703040608,0.03835549379956281,3.688347352771257
DE,2023,2,20232,0.04309308435143083,0.03835592140267554,3.7953237272713607,203.0,769116.0,13.552997082365357,True,13,1,1,2,False,615.0,Very High,1.0,high,0.04591120703040608,0.03835592140267554,3.688347352771257
DE,2023,3,20233,0.042660738680346026,0.038013460712774894,3.81166074031674,207.0,760669.0,13.541953588216007,True,14,2,1,3,False,615.0,Very High,1.0,high,0.04591120703040608,0.038013460712774894,3.688347352771257
DE,2023,4,20234,0.04251680080217088,0.037957356996466934,3.813662660333375,211.0,808632.0,13.603099209979092,True,15,3,1,4,False,615.0,Very High,1.0,high,0.04591120703040608,0.037957356996466934,3.688347352771257
DE,2024,1,20241,0.0425826407757927,0.038087723596336324,3.8161587718917094,214.0,851254.0,13.654465835406919,True,16,4,1,5,False,615.0,Very High,1.0,high,0.04591120703040608,0.038087723596336324,3.688347352771257
DE,2024,2,20242,0.0424698188305256,0.03795316703255638,3.822384402029436,213.0,849483.0,13.652383208122256,True,17,5,1,6,False,615.0,Very High,1.0,high,0.04591120703040608,0.03795316703255638,3.688347352771257
DE,2024,3,20243,0.042117865133769125,0.037683225620499534,3.8396248943492237,217.0,840556.0,13.64181885661906,True,18,6,1,7,False,615.0,Very High,1.0,high,0.04591120703040608,0.037683225620499534,3.688347352771257
DE,2024,4,20244,0.042572679690537706,0.038140145800216116,3.8269510031460565,217.0,885875.0,13.694331136112558,True,19,7,1,8,False,615.0,Very High,1.0,high,0.04591120703040608,0.038140145800216116,3.688347352771257
DE,2025,1,20251,0.043426549977934145,0.03915613279033564,3.819844039459272,225.0,961513.0,13.776263364460391,True,20,8,1,9,False,615.0,Very High,1.0,high,0.04591120703040608,0.03915613279033564,3.688347352771257
DE,2025,2,20252,0.04520877060817875,0.040848993305019746,3.7824862804640924,220.0,1006750.0,13.8222378787137,True,21,9,1,10,False,615.0,Very High,1.0,high,0.04591120703040608,0.040848993305019746,3.688347352771257
DE,2025,3,20253,0.045673389148727817,0.04143193754494438,3.778125511126271,226.0,1031477.0,13.84650231362003,True,22,10,1,11,False,615.0,Very High,1.0,high,0.04591120703040608,0.04143193754494438,3.688347352771257
DK,2020,1,20201,0.06444513225524257,0.046100919162208105,3.1985364228690485,52.0,55576.0,10.925506732372718,True,0,-12,0,-11,False,611.0,Very High,1.0,high,0.06444513225524257,0.046100919162208105,3.1985364228690485
DK,2020,2,20202,0.06385807342491893,0.046837311123553826,3.2220705423440226,56.0,60825.0,11.015756167651723,True,1,-11,0,-10,False,611.0,Very High,1.0,high,0.06385807342491893,0.046837311123553826,3.2220705423440226
DK,2020,3,20203,0.06229585973609458,0.044930968249725964,3.2380098524915906,55.0,51334.0,10.846108579656313,True,2,-10,0,-9,False,611.0,Very High,1.0,high,0.06229585973609458,0.044930968249725964,3.2380098524915906
DK,2020,4,20204,0.0613203586973824,0.045932167856355885,3.277134019762405,62.0,66852.0,11.110236499808815,True,3,-9,0,-8,False,611.0,Very High,1.0,high,0.0613203586973824,0.045932167856355885,3.277134019762405
DK,2021,1,20211,0.059183318435360614,0.043760094147415704,3.295782947369537,62.0,63285.0,11.055403613226549,True,4,-8,0,-7,False,611.0,Very High,1.0,high,0.059183318435360614,0.043760094147415704,3.295782947369537
DK,2021,2,20212,0.05736632591842857,0.043297166603778255,3.3466926974989457,68.0,66555.0,11.10578395248112,True,5,-7,0,-6,False,611.0,Very High,1.0,high,0.05736632591842857,0.043297166603778255,3.3466926974989457
DK,2021,3,20213,0.057974372563790844,0.04227394543985402,3.314330773539376,61.0,53058.0,10.87914093380379,True,6,-6,0,-5,False,611.0,Very High,1.0,high,0.057974372563790844,0.04227394543985402,3.314330773539376
DK,2021,4,20214,0.05898873189035989,0.045735052057829746,3.3423203793944927,72.0,71238.0,11.173781662893846,True,7,-5,0,-4,False,611.0,Very High,1.0,high,0.05898873189035989,0.045735052057829746,3.3423203793944927
DK,2022,1,20221,0.05684205433811673,0.04374263842614613,3.3680890932319385,73.0,74503.0,11.218594672013275,True,8,-4,0,-3,False,611.0,Very High,1.0,high,0.05684205433811673,0.04374263842614613,3.3680890932319385
DK,2022,2,20222,0.05525301794110579,0.042311278460846966,3.397991779129648,74.0,77451.0,11.257400757317503,True,9,-3,0,-2,False,611.0,Very High,1.0,high,0.05525301794110579,0.042311278460846966,3.397991779129648
DK,2022,3,20223,0.056579226052138935,0.04228497190141377,3.355610851028611,67.0,63278.0,11.05529299637949,True,10,-2,0,-1,False,611.0,Very High,1.0,high,0.056579226052138935,0.04228497190141377,3.355610851028611
DK,2022,4,20224,0.057245602387242106,0.043582495175463004,3.3499422849811435,70.0,80595.0,11.297191891831032,True,11,-1,0,0,True,611.0,Very High,1.0,high,0.057245602387242106,0.043582495175463004,3.3499422849811435
DK,2023,1,20231,0.054979299505593375,0.0422087494989122,3.401296680637419,75.0,82472.0,11.320214120776221,True,12,0,1,1,False,611.0,Very High,1.0,high,0.054979299505593375,0.0422087494989122,3.401296680637419
DK,2023,2,20232,0.05578928664644259,0.04302968241193505,3.3941344895338226,75.0,83012.0,11.32674045464155,True,13,1,1,2,False,611.0,Very High,1.0,high,0.05578928664644259,0.04302968241193505,3.3941344895338226
DK,2023,3,20233,0.056421064410107566,0.042544903592609144,3.3664788133387895,69.0,67323.0,11.117257210591687,True,14,2,1,3,False,611.0,Very High,1.0,high,0.056421064410107566,0.042544903592609144,3.3664788133387895
DK,2023,4,20234,0.05520603247093506,0.04309328929748551,3.4101106626135667,79.0,87673.0,11.381369263228375,True,15,3,1,4,False,611.0,Very High,1.0,high,0.05520603247093506,0.04309328929748551,3.4101106626135667
DK,2024,1,20241,0.054139449039696884,0.041693915474429744,3.413986618280872,77.0,85394.0,11.355031119697239,True,16,4,1,5,False,611.0,Very High,1.0,high,0.054139449039696884,0.041693915474429744,3.413986618280872
DK,2024,2,20242,0.05573167316746354,0.043468448143664365,3.400226437531419,78.0,90603.0,11.414242604065644,True,17,5,1,6,False,611.0,Very High,1.0,high,0.05573167316746354,0.043468448143664365,3.400226437531419
DK,2024,3,20243,0.054717216629400225,0.041768137405145435,3.4046492489680666,74.0,74193.0,11.214425085082569,True,18,6,1,7,False,611.0,Very High,1.0,high,0.054717216629400225,0.041768137405145435,3.4046492489680666
DK,2024,4,20244,0.05472257463230801,0.04290660681521186,3.4252838911410763,81.0,97532.0,11.487935808266622,True,19,7,1,8,False,611.0,Very High,1.0,high,0.05472257463230801,0.04290660681521186,3.4252838911410763
DK,2025,1,20251,0.05616190469200372,0.04390426709060117,3.3925171045906843,78.0,96686.0,11.479223893297213,True,20,8,1,9,False,611.0,Very High,1.0,high,0.05616190469200372,0.04390426709060117,3.3925171045906843
DK,2025,2,20252,0.05757395552817056,0.045173612837751745,3.373269761015126,77.0,103463.0,11.546969339850815,True,21,9,1,10,False,611.0,Very High,1.0,high,0.05757395552817056,0.045173612837751745,3.373269761015126
DK,2025,3,20253,0.059049526660589505,0.04615979414909073,3.3408983089572155,74.0,88446.0,11.390147475275333,True,22,10,1,11,False,611.0,Very High,1.0,high,0.059049526660589505,0.04615979414909073,3.3408983089572155
DO,2020,1,20201,0.13556030877602226,0.06906494791263937,2.2576998313081362,14.0,7220.0,8.884610231886873,True,0,-12,0,-11,False,503.0,Low,0.0,medium,0.13556030877602226,0.06906494791263937,2.2576998313081362
DO,2020,2,20202,0.11763550145911512,0.0711952646938054,2.486840727323108,20.0,9854.0,9.195632743103909,True,1,-11,0,-10,False,503.0,Low,0.0,medium,0.11763550145911512,0.0711952646938054,2.486840727323108
DO,2020,3,20203,0.11477848262791072,0.07262507703876361,2.541275965511829,22.0,10190.0,9.229162126216771,True,2,-10,0,-9,False,503.0,Low,0.0,medium,0.11477848262791072,0.07262507703876361,2.541275965511829
DO,2020,4,20204,0.10402093571152564,0.06329461460750407,2.6195523939539163,23.0,10283.0,9.23824732522919,True,3,-9,0,-8,False,503.0,Low,0.0,medium,0.10402093571152564,0.06329461460750407,2.6195523939539163
DO,2021,1,20211,0.11855093064038769,0.069581537898187,2.446334215599916,19.0,10533.0,9.262268464836541,True,4,-8,0,-7,False,503.0,Low,0.0,medium,0.11855093064038769,0.069581537898187,2.446334215599916
DO,2021,2,20212,0.11791488164737586,0.07381062572974466,2.485801626468791,21.0,11790.0,9.375006993531416,True,5,-7,0,-6,False,503.0,Low,0.0,medium,0.11791488164737586,0.07381062572974466,2.485801626468791
DO,2021,3,20213,0.11363077125997845,0.06931230982297737,2.5199557136909276,21.0,11795.0,9.375430991841775,True,6,-6,0,-5,False,503.0,Low,0.0,medium,0.11363077125997845,0.06931230982297737,2.5199557136909276
DO,2021,4,20214,0.11380594558065245,0.06949624285968507,2.513373705749245,21.0,11146.0,9.318835968129482,True,7,-5,0,-4,False,503.0,Low,0.0,medium,0.11380594558065245,0.06949624285968507,2.513373705749245
DO,2022,1,20221,0.13003425628077261,0.0788598007678769,2.365010056298569,18.0,11125.0,9.31695010703444,True,8,-4,0,-3,False,503.0,Low,0.0,medium,0.13003425628077261,0.0788598007678769,2.365010056298569
DO,2022,2,20222,0.12170167217003823,0.07987794227337337,2.4800388017797554,22.0,13744.0,9.528357644224037,True,9,-3,0,-2,False,503.0,Low,0.0,medium,0.12170167217003823,0.07987794227337337,2.4800388017797554
DO,2022,3,20223,0.12021612350956332,0.08022594730545256,2.5059441290195776,23.0,14424.0,9.576648764883153,True,10,-2,0,-1,False,503.0,Low,0.0,medium,0.12021612350956332,0.08022594730545256,2.5059441290195776
DO,2022,4,20224,0.11965256964424455,0.07773126343682761,2.4963527753360726,22.0,14236.0,9.563529246630083,True,11,-1,0,0,True,503.0,Low,0.0,medium,0.11965256964424455,0.07773126343682761,2.4963527753360726
DO,2023,1,20231,0.11548680365762422,0.07702970816447743,2.5481199560376173,24.0,14821.0,9.603800372956915,True,12,0,1,1,False,503.0,Low,0.0,medium,0.11548680365762422,0.07702970816447743,2.5481199560376173
DO,2023,2,20232,0.11855100926229195,0.08182396798155411,2.556750551444631,25.0,16411.0,9.705707120679628,True,13,1,1,2,False,503.0,Low,0.0,medium,0.11855100926229195,0.08182396798155411,2.556750551444631
DO,2023,3,20233,0.11302883750217867,0.07446487391531686,2.585458377998554,24.0,16049.0,9.683401821321157,True,14,2,1,3,False,503.0,Low,0.0,medium,0.11302883750217867,0.07446487391531686,2.585458377998554
DO,2023,4,20234,0.11243349032808445,0.07384364208147942,2.5863844555378916,24.0,15153.0,9.625953811136162,True,15,3,1,4,False,503.0,Low,0.0,medium,0.11243349032808445,0.07384364208147942,2.5863844555378916
DO,2024,1,20241,0.11725675124305338,0.07887660999275135,2.551229737849714,24.0,16221.0,9.694061978050115,True,16,4,1,5,False,503.0,Low,0.0,medium,0.11725675124305338,0.07887660999275135,2.551229737849714
DO,2024,2,20242,0.10679545687307004,0.07371380712762819,2.6660718515206088,28.0,19659.0,9.886290527707606,True,17,5,1,6,False,503.0,Low,0.0,medium,0.10679545687307004,0.07371380712762819,2.6660718515206088
DO,2024,3,20243,0.11042764879927722,0.07621332759924941,2.626897135121536,27.0,19637.0,9.885170820750231,True,18,6,1,7,False,503.0,Low,0.0,medium,0.11042764879927722,0.07621332759924941,2.626897135121536
DO,2024,4,20244,0.10713677037288234,0.07406776186817428,2.6652317096342277,28.0,19957.0,9.901335237967984,True,19,7,1,8,False,503.0,Low,0.0,medium,0.10713677037288234,0.07406776186817428,2.6652317096342277
DO,2025,1,20251,0.11141723393140271,0.08077644889455453,2.6463798126341054,30.0,22819.0,10.035348801246425,True,20,8,1,9,False,503.0,Low,0.0,medium,0.11141723393140271,0.08077644889455453,2.6463798126341054
