event_time,coef,se,ci_low,ci_high,pval,specification
-2,0.06301920642266708,0.0016908218349454118,0.05970519562617407,0.06633321721916008,0.0,epi_tercile_medium_hhi_norm
-1,0.0,0.0,0.0,0.0,,epi_tercile_medium_hhi_norm
0,0.06346898709084549,0.0018294283544965557,0.05988330751603224,0.06705466666565874,0.0,epi_tercile_medium_hhi_norm
1,0.06536089635529008,0.002010574497153679,0.061420170340868864,0.06930162236971128,0.0,epi_tercile_medium_hhi_norm
2,0.06533288324388632,0.0018631441600804577,0.06168112069012863,0.06898464579764402,0.0,epi_tercile_medium_hhi_norm
3,0.06342577403184183,0.0015444239892653212,0.0603987030128818,0.06645284505080186,0.0,epi_tercile_medium_hhi_norm
4,0.06682477312440377,0.0018342834468068829,0.06322957756866228,0.07041996868014526,0.0,epi_tercile_medium_hhi_norm
5,0.06502705465153878,0.0019703374204700203,0.06116519330741754,0.06888891599566002,0.0,epi_tercile_medium_hhi_norm
6,0.0666780130585448,0.0019468005800525262,0.06286228392164185,0.07049374219544775,0.0,epi_tercile_medium_hhi_norm
7,0.06757851027479624,0.001240147001098783,0.06514782215264261,0.07000919839694986,0.0,epi_tercile_medium_hhi_norm
8,0.07029132908680201,0.001798625417609435,0.06676602326828751,0.07381663490531651,0.0,epi_tercile_medium_hhi_norm
9,0.06954822076024736,0.0017847823248803823,0.0660500474034818,0.07304639411701291,0.0,epi_tercile_medium_hhi_norm
10,0.07174426339067376,0.0013384936620729876,0.0691208158130107,0.07436771096833682,0.0,epi_tercile_medium_hhi_norm
-12,2.4605867136030857,0.030592436323899408,2.4006255384082427,2.5205478887979287,0.0,epi_tercile_medium_entropy
-11,2.5415123880602963,0.02576048925055948,2.4910218291292,2.5920029469913928,0.0,epi_tercile_medium_entropy
-10,2.5739696104994794,0.024291469991678354,2.52635832931579,2.621580891683169,0.0,epi_tercile_medium_entropy
-9,2.6772054333654784,0.02498968589249464,2.628225649016189,2.726185217714768,0.0,epi_tercile_medium_entropy
-8,2.6707023724336825,0.015323765100738539,2.640667792836235,2.70073695203113,0.0,epi_tercile_medium_entropy
-7,2.676352756599335,0.03076653253823315,2.6160503528243977,2.736655160374272,0.0,epi_tercile_medium_entropy
-6,2.675290473182722,0.016460292670669154,2.6430282995482104,2.7075526468172333,0.0,epi_tercile_medium_entropy
-5,2.697232326991298,0.020592720775379835,2.656870594271554,2.7375940597110424,0.0,epi_tercile_medium_entropy
-4,2.692930348779918,0.012304641491015714,2.668813251457527,2.717047446102309,0.0,epi_tercile_medium_entropy
-3,2.747525724355722,0.01611393392425944,2.7159424138641737,2.7791090348472705,0.0,epi_tercile_medium_entropy
-2,2.7438679658669423,0.014807771408542444,2.714844733906199,2.7728911978276853,0.0,epi_tercile_medium_entropy
-1,0.0,0.0,0.0,0.0,,epi_tercile_medium_entropy
0,2.739148670660632,0.013401822112744393,2.7128810993196533,2.765416242001611,0.0,epi_tercile_medium_entropy
1,2.7679478478706003,0.012580003041284678,2.7432910419096825,2.792604653831518,0.0,epi_tercile_medium_entropy
2,2.7618294580465963,0.013312018455139539,2.735737901874523,2.7879210142186697,0.0,epi_tercile_medium_entropy
3,2.8069029089029485,0.012077233931759877,2.7832315303966992,2.8305742874091977,0.0,epi_tercile_medium_entropy
4,2.769108055387606,0.015565043270728237,2.738600570576979,2.7996155401982334,0.0,epi_tercile_medium_entropy
5,2.812813521271515,0.015553199380292999,2.782329250486141,2.843297792056889,0.0,epi_tercile_medium_entropy
6,2.80119562126542,0.020314309842679682,2.761379573973768,2.841011668557072,0.0,epi_tercile_medium_entropy
7,2.809719345006971,0.018437524019637087,2.773581797928482,2.8458568920854597,0.0,epi_tercile_medium_entropy
8,2.77614280174476,0.018703948262899076,2.739483063149478,2.812802540340042,0.0,epi_tercile_medium_entropy
9,2.8261587257511676,0.020937985424155474,2.785120274319823,2.867197177182512,0.0,epi_tercile_medium_entropy
10,2.810827966162401,0.028015912562217707,2.7559167775404543,2.8657391547843476,0.0,epi_tercile_medium_entropy
-12,0.05375925957170441,0.001753372064759364,0.05032265032477606,0.05719586881863276,0.0,epi_tercile_high_hhi_norm
-11,0.0555572891540409,0.0009824800087098022,0.05363162833696969,0.05748294997111211,0.0,epi_tercile_high_hhi_norm
-10,0.05423805342469512,0.0008984324491789495,0.05247712582430438,0.05599898102508586,0.0,epi_tercile_high_hhi_norm
-9,0.05139114457858234,0.0009782355045104235,0.04947380298974191,0.05330848616742277,0.0,epi_tercile_high_hhi_norm
-8,0.051792133276173914,0.0008445751366489929,0.05013676600834189,0.05344750054400594,0.0,epi_tercile_high_hhi_norm
-7,0.05165294218966771,0.0009741008199116324,0.049743704582640914,0.05356217979669451,0.0,epi_tercile_high_hhi_norm
-6,0.05160073161666783,0.0007843599547382984,0.05006338610538077,0.053138077127954896,0.0,epi_tercile_high_hhi_norm
-5,0.052979640875450214,0.0005470143538062818,0.0519074927419899,0.05405178900891053,0.0,epi_tercile_high_hhi_norm
-4,0.05466213775767083,0.000687679377079867,0.05331428617859429,0.05600998933674737,0.0,epi_tercile_high_hhi_norm
-3,0.05450507488568742,0.000745370610732674,0.053044148488651376,0.055966001282723464,0.0,epi_tercile_high_hhi_norm
-2,0.05393929811262825,0.0009860117591804925,0.05200671506463449,0.055871881160622014,0.0,epi_tercile_high_hhi_norm
-1,0.0,0.0,0.0,0.0,,epi_tercile_high_hhi_norm
0,0.053449245616669964,0.0010368973869555338,0.05141692673823712,0.05548156449510281,0.0,epi_tercile_high_hhi_norm
