tau,variable,coef,se,pvalue,pseudo_r2
0.5,dept_21,0.00017633713213203767,0.00021142684604988972,0.40426194732518383,0.025181123861475974
0.5,dept_22,-0.0001323747832952404,0.00019957920413499807,0.5071580169645096,0.025181123861475974
0.5,dept_23,-0.000821321714162491,0.00018822189253534018,1.279497879513869e-05,0.025181123861475974
0.5,dept_24,-0.000641764869510512,0.0003333839594633038,0.05422907772271346,0.025181123861475974
0.5,dept_25,0.002683539529937169,0.00044008854874202447,1.0758773871799576e-09,0.025181123861475974
0.5,dept_30,-0.0003045598932496916,0.0001296816910940042,0.018848246223922338,0.025181123861475974
0.5,dept_40,-0.0004931950249778346,0.00018801321411029295,0.00871098054555186,0.025181123861475974
0.5,dept_50,-0.00013527850129958741,0.0001384532153630966,0.3285344336955287,0.025181123861475974
0.5,dept_51,-0.00021657535762441196,0.0002165126975582981,0.31717047258743514,0.025181123861475974
0.5,dept_60,0.0002798974203397556,0.0004324925665464457,0.5175201204922981,0.025181123861475974
0.5,dept_61,-4.025765159985841e-05,0.0001926553250223517,0.8344778645426305,0.025181123861475974
0.5,dept_70,-0.00037367101510971644,0.0006370323387773113,0.557485200355168,0.025181123861475974
0.5,dept_80,-0.0005005385912770108,0.00017701626921227224,0.004689225182912038,0.025181123861475974
0.5,dept_81,-0.0003335499335085114,0.00024431221381295936,0.17217103697607072,0.025181123861475974
0.5,dept_90,-0.0005301115706602533,0.00014603992369245452,0.00028352162826728033,0.025181123861475974
0.75,const,-0.0026246465086648676,0.0018748061780814909,0.16152643885147322,0.03509059974721329
0.75,ins_sis,0.0013175517273959737,0.0010153379784299673,0.19440817421588852,0.03509059974721329
0.75,ins_essalud,0.00023068848065124168,0.31272800901134484,0.9994114286054656,0.03509059974721329
0.75,q2,0.0051860609084639995,0.0006882092688080742,4.8627768478581856e-14,0.03509059974721329
0.75,q3,0.008521102913743289,0.0008149589049359519,0.0,0.03509059974721329
0.75,q4,0.012817037165671188,0.0010711432250015667,0.0,0.03509059974721329
0.75,q5,0.018845476544851903,0.001991945456666921,0.0,0.03509059974721329
0.75,ins_sis_x_q2,-0.003188649056296033,0.0015790875089980298,0.04345620252201532,0.03509059974721329
0.75,ins_sis_x_q3,-0.003577565382997918,0.0015073756763612051,0.017626432927638325,0.03509059974721329
0.75,ins_sis_x_q4,-0.006485743934088945,0.0015408837139529192,2.5638232452385168e-05,0.03509059974721329
0.75,ins_sis_x_q5,-0.005676921470859882,0.002572646580008057,0.027338768364180366,0.03509059974721329
0.75,ins_essalud_x_q2,-0.007591548865761809,0.3117895568104354,0.9805747785211156,0.03509059974721329
0.75,ins_essalud_x_q3,-0.0038691148687111177,0.3125809744656691,0.9901240688320134,0.03509059974721329
0.75,ins_essalud_x_q4,-0.012829901297778827,0.312530194683621,0.9672546658904781,0.03509059974721329
0.75,ins_essalud_x_q5,-0.008133940627141942,0.3127134917796432,0.9792486922395578,0.03509059974721329
0.75,age_head,0.00033467270213804724,6.39685079652422e-05,1.6783520306873356e-07,0.03509059974721329
0.75,age_head_sq,-2.8741620385482256e-06,6.537892812788377e-07,1.1018292217945813e-05,0.03509059974721329
0.75,female_head,0.0003286644919536265,0.00037661200149225724,0.38283356903193644,0.03509059974721329
0.75,educ_years,-2.248827473640722e-05,3.999661500309494e-05,0.573942668507212,0.03509059974721329
0.75,hh_size,0.0006083563898619502,0.0001616722938797806,0.00016795555591819777,0.03509059974721329
0.75,children_u5,0.0018985203854775057,0.0005028940590497826,0.00015988605205530249,0.03509059974721329
0.75,elderly_65,0.003286475936724504,0.0006727730060267831,1.0344461438549502e-06,0.03509059974721329
0.75,rural,-0.00289877092259113,0.0005309713753603249,4.778183093634425e-08,0.03509059974721329
0.75,hospitalized,1.5533892688697488e-13,3.8625846056226716e-11,0.9967912108079826,0.03509059974721329
0.75,chronic_any,0.006067525197041661,0.0010378338765025662,5.025195592978093e-09,0.03509059974721329
0.75,dept_11,0.015282840371294466,0.0017968181669079288,0.0,0.03509059974721329
0.75,dept_12,0.004049629420642209,0.0016204855194886434,0.012453648044449261,0.03509059974721329
0.75,dept_13,0.006635132980322718,0.0018827843661954548,0.0004249131208906576,0.03509059974721329
0.75,dept_14,0.0151308349710455,0.003134011589383556,1.3794931343902306e-06,0.03509059974721329
0.75,dept_15,0.0027885281105439596,0.00125472651682262,0.02625499926447228,0.03509059974721329
0.75,dept_16,-0.005570722142364404,0.0009717175325621299,9.875020134941792e-09,0.03509059974721329
0.75,dept_17,-0.008528990250065722,0.0010975648403040354,7.771561172376096e-15,0.03509059974721329
0.75,dept_18,-0.006940801773795568,0.0009755709316599895,1.1224354778960333e-12,0.03509059974721329
0.75,dept_19,0.0026193942512828215,0.0017730121054780567,0.13957658046523158,0.03509059974721329
0.75,dept_20,0.00411860393777189,0.001518494263251053,0.006681915860620835,0.03509059974721329
0.75,dept_21,0.0014475741770055908,0.0014544037279381466,0.31958832294955086,0.03509059974721329
0.75,dept_22,0.0014113989324533983,0.0016829262224528324,0.4016614559457907,0.03509059974721329
0.75,dept_23,-0.004830026840222952,0.0009792185297759488,8.117043086564024e-07,0.03509059974721329
0.75,dept_24,-0.0018563026091537047,0.0022367422161143334,0.40658767942805585,0.03509059974721329
0.75,dept_25,0.0009574328205308605,0.0013463721081846533,0.4770095612090459,0.03509059974721329
0.75,dept_30,-0.004678032983295989,0.0009262743940336289,4.40943724644427e-07,0.03509059974721329
0.75,dept_40,-0.001567233647701438,0.001559698891297207,0.3149782799387326,0.03509059974721329
0.75,dept_50,-0.0035185981273313793,0.0010824044422297996,0.0011511153678971375,0.03509059974721329
0.75,dept_51,-0.0049777334554349795,0.0012858755174608848,0.00010835198915337685,0.03509059974721329
0.75,dept_60,0.01164082772023348,0.0021320333804504903,4.762283500880926e-08,0.03509059974721329
0.75,dept_61,0.012039099999615659,0.009858505932600807,0.22201442979515207,0.03509059974721329
0.75,dept_70,0.0009389572155831111,0.001884712222490518,0.6183454807674478,0.03509059974721329
0.75,dept_80,-0.0047541573134546496,0.0009704339387678902,9.632491331235116e-07,0.03509059974721329
0.75,dept_81,-0.005059130915600077,0.0012138836464750283,3.0765734073234796e-05,0.03509059974721329
0.75,dept_90,-0.004977688467135786,0.0009598352699086544,2.1487952284182654e-07,0.03509059974721329
0.9,const,0.008378118457379125,0.007195034773689494,0.2442495641240523,0.042633208798347644
0.9,ins_sis,0.004689334184257522,0.005056757898479212,0.3537499999913529,0.042633208798347644
0.9,ins_essalud,0.9183088740530561,0.45510305049129884,0.04361165104952258,0.042633208798347644
0.9,q2,0.014435498978235924,0.002177420487025303,3.3652192144018045e-11,0.042633208798347644
0.9,q3,0.02631844809954296,0.0026022322849338555,0.0,0.042633208798347644
0.9,q4,0.030908380252187583,0.003689863531270919,0.0,0.042633208798347644
0.9,q5,0.05159534908618608,0.004802570757451103,0.0,0.042633208798347644
0.9,ins_sis_x_q2,-0.00694656370002817,0.006170779710198545,0.26028449702614287,0.042633208798347644
0.9,ins_sis_x_q3,-0.014703598715278075,0.005941462462688756,0.013333170074684597,0.042633208798347644
0.9,ins_sis_x_q4,-0.010681298283787596,0.006253969546977143,0.08765063522962713,0.042633208798347644
0.9,ins_sis_x_q5,-0.01937978195437262,0.007269798036590446,0.007680680475709689,0.042633208798347644
0.9,ins_essalud_x_q2,-0.8943861979809223,0.4580326457265458,0.05085881640963685,0.042633208798347644
0.9,ins_essalud_x_q3,-0.9364116102560692,0.4557206047420747,0.03989898106052503,0.042633208798347644
0.9,ins_essalud_x_q4,-0.9299026710524354,0.4543539195623167,0.040692630147455944,0.042633208798347644
0.9,ins_essalud_x_q5,-0.9466536144864558,0.4546205758111353,0.03731564025371048,0.042633208798347644
