W2_WeightSocDemTurnAttrition	region	age	gender	W1_news_socmed	W1_news_important	W1_news_notime	W1_news_toomuch	W1_news_switchaway	W1_news_notinteresting	W2_news_socmed	W2_news_important	W2_news_notime	W2_news_toomuch	W2_news_switchaway	W2_news_notinteresting	congruence	congruence_EU	avoidance	education	interest	knowledge	internal_efficacy	external_efficacy	avoidance_alt	sample
1.0819064	0.0	50	1	1	1	5	3	1	4	4	2	5	3	3	5	1.4443483	1.4443483	2.5	1	7.0	4.0	4.0	1.0	0.13400969	1.0
	0.0	57	0	1	2	3	3		2	1	2	3	2	1	2	0.0480299	0.0480299		2	7.0	4.0	1.0	4.0		
5.2159896	0.0	62	0	4	1	2	2	1	2	1	1	4	2	3	2	1.2571182	1.2571182	2.0	0	10.0	4.0	4.5	3.5	-0.5552185	1.0
	0.0	75	0	1	2	1	1	1	2									1.3333334	1	5.0	3.0	1.0	1.0	-1.160728	
	0.0	63	0	3	1	4	3	1	2	2	1	1	1	2	1	1.956284	1.956284	2.3333333	2	10.0	4.0	4.5	2.0	-0.2258092	1.0
	0.0	73	0	2	2	2	2	2	2	1	2	2	3	1	1	0.0480299	0.0480299	2.0	2	8.0	4.0	3.0	3.5	-0.51093906	1.0
	0.0	66	0	1	2	3	2	1	2									1.8333334	2	3.0	3.0	3.5	2.0	-0.6806391	
	0.0	46	0	2	2	4	3	3	3	1	1	2	2	1	1	0.043715954	0.043715954	2.8333333	2	8.0	2.0	4.5	2.0	0.39624307	1.0
	0.0	53	0	2	2	3	2	2	2	3	2	3	2	3	3	1.5556517	2.04803	2.1666667	2	10.0	1.0	1.0	1.0	-0.3559716	1.0
1.4550503	0.0	54	0	2	2	4	4	1	2	1	1	1	1	1	1	1.2571182	0.007189989	2.5	1	10.0	1.0	3.5	2.0	-0.03468401	1.0
0.24610002	0.0	71	1	1	2	4	4	1	2	1	1	2	2	1	1	0.39948225	0.99281	2.3333333	2	7.0	3.0	1.5	1.0	-0.18536359	1.0
0.8156598	0.0	28	1	4	2	2	2	2	2	3	1	4	4	5	4	0.95628405	3.04803	2.3333333	2	8.0	2.0	4.5	4.0	-0.20957991	1.0
